Epiyear,Epiweek,Number of norovirus outbreaks
2003,1,5
2003,2,11
2003,3,7
2003,4,2
2003,5,6
2003,6,3
2003,7,12
2003,8,6
2003,9,4
2003,10,6
2003,11,7
2003,12,0
2003,13,1
2003,14,3
2003,15,3
2003,16,1
2003,17,1
2003,18,1
2003,19,0
2003,20,0
2003,21,0
2003,22,1
2003,23,1
2003,24,1
2003,25,0
2003,26,1
2003,27,0
2003,28,0
2003,29,0
2003,30,1
2003,31,0
2003,32,0
2003,33,0
2003,34,0
2003,35,2
2003,36,1
2003,37,0
2003,38,0
2003,39,3
2003,40,1
2003,41,1
2003,42,1
2003,43,1
2003,44,0
2003,45,0
2003,46,3
2003,47,3
2003,48,1
2003,49,2
2003,50,1
2003,51,2
2003,52,2
2003,53,4
2004,1,2
2004,2,3
2004,3,4
2004,4,2
2004,5,1
2004,6,6
2004,7,6
2004,8,8
2004,9,4
2004,10,3
2004,11,4
2004,12,6
2004,13,6
2004,14,1
2004,15,2
2004,16,4
2004,17,4
2004,18,3
2004,19,4
2004,20,2
2004,21,3
2004,22,3
2004,23,3
2004,24,2
2004,25,1
2004,26,3
2004,27,2
2004,28,2
2004,29,1
2004,30,1
2004,31,2
2004,32,0
2004,33,0
2004,34,0
2004,35,1
2004,36,1
2004,37,3
2004,38,1
2004,39,1
2004,40,1
2004,41,2
2004,42,0
2004,43,0
2004,44,1
2004,45,3
2004,46,3
2004,47,8
2004,48,3
2004,49,5
2004,50,4
2004,51,9
2004,52,7
2005,1,13
2005,2,6
2005,3,15
2005,4,13
2005,5,9
2005,6,8
2005,7,7
2005,8,12
2005,9,14
2005,10,5
2005,11,8
2005,12,6
2005,13,6
2005,14,3
2005,15,2
2005,16,2
2005,17,3
2005,18,0
2005,19,0
2005,20,0
2005,21,0
2005,22,1
2005,23,2
2005,24,1
2005,25,0
2005,26,0
2005,27,1
2005,28,0
2005,29,0
2005,30,0
2005,31,1
2005,32,0
2005,33,0
2005,34,0
2005,35,1
2005,36,0
2005,37,0
2005,38,1
2005,39,1
2005,40,1
2005,41,1
2005,42,0
2005,43,0
2005,44,0
2005,45,2
2005,46,1
2005,47,2
2005,48,3
2005,49,1
2005,50,5
2005,51,4
2005,52,3
2006,1,4
2006,2,4
2006,3,5
2006,4,8
2006,5,5
2006,6,5
2006,7,2
2006,8,5
2006,9,7
2006,10,3
2006,11,10
2006,12,7
2006,13,8
2006,14,11
2006,15,6
2006,16,15
2006,17,15
2006,18,9
2006,19,11
2006,20,5
2006,21,13
2006,22,3
2006,23,5
2006,24,4
2006,25,3
2006,26,6
2006,27,3
2006,28,0
2006,29,4
2006,30,3
2006,31,2
2006,32,5
2006,33,2
2006,34,5
2006,35,2
2006,36,2
2006,37,6
2006,38,3
2006,39,1
2006,40,4
2006,41,3
2006,42,2
2006,43,5
2006,44,2
2006,45,6
2006,46,5
2006,47,4
2006,48,6
2006,49,8
2006,50,7
2006,51,15
2006,52,10
2007,1,21
2007,2,7
2007,3,8
2007,4,12
2007,5,9
2007,6,9
2007,7,18
2007,8,11
2007,9,8
2007,10,14
2007,11,1
2007,12,6
2007,13,9
2007,14,4
2007,15,6
2007,16,11
2007,17,2
2007,18,4
2007,19,3
2007,20,6
2007,21,2
2007,22,5
2007,23,3
2007,24,1
2007,25,2
2007,26,1
2007,27,0
2007,28,2
2007,29,2
2007,30,1
2007,31,0
2007,32,1
2007,33,0
2007,34,1
2007,35,1
2007,36,0
2007,37,1
2007,38,0
2007,39,0
2007,40,1
2007,41,2
2007,42,2
2007,43,0
2007,44,3
2007,45,1
2007,46,1
2007,47,3
2007,48,2
2007,49,4
2007,50,10
2007,51,13
2007,52,6
2008,1,11
2008,2,6
2008,3,9
2008,4,13
2008,5,12
2008,6,15
2008,7,11
2008,8,12
2008,9,9
2008,10,7
2008,11,5
2008,12,5
2008,13,6
2008,14,10
2008,15,6
2008,16,9
2008,17,6
2008,18,1
2008,19,3
2008,20,1
2008,21,1
2008,22,1
2008,23,1
2008,24,3
2008,25,2
2008,26,0
2008,27,3
2008,28,0
2008,29,0
2008,30,1
