"","WDIR","GSPD","Salinity","SST","Total_Rain","Mean_Temp","outbreak_count"
"1",118.08,15.15,27.6,7.94,41.1,5.3,5
"2",118.46,14.15,29.2,8.26,24.8,9.3,5
"3",124.25,14.27,28.8,8.14,11.4,8.3,5
"4",143.04,9.91,29.5,8.09,2.6,9.5,5
"5",172.7,5.76,29.2,7.91,0,4.5,11
"6",114.79,4.16,28.8,7.78,0,3,11
"7",186.42,3.24,28.1,7.71,0,3.5,11
"8",300.71,4.47,26.7,7.67,0,3.3,11
"9",171.04,1.79,28.2,7.69,0,1.3,11
"10",210.54,2.16,28.8,7.82,0,-0.5,11
"11",164.04,2.82,28.9,7.85,7,1.5,11
"12",237.58,4.23,27.8,7.89,0.6,3.8,7
"13",104.91,3.55,28.1,7.9,9.2,5,7
"14",217.58,4.32,28.6,8.1,0.4,5,7
"15",161.62,3.97,28.7,7.97,0,4.8,7
"16",106.75,2.57,29.3,7.26,0,4,7
"17",306.5,2.98,28.5,7.23,0.2,3.3,7
"18",239.42,2.6,29.2,7.12,0.5,2.8,7
"19",200.09,2.71,29.5,7.23,0.3,5,2
"20",242.62,2.62,29.8,7.56,1.4,5.3,2
"21",279.54,2.44,28.8,7.89,16.6,4.8,2
"22",127.35,6.24,29.1,7.99,25.8,6.8,2
"23",127.35,12.07,29.7,7.95,8.8,8.5,2
"24",128.46,9.63,29.5,7.96,0.2,8.5,2
"25",127.83,6.29,29.9,8,30.3,9.8,2
"26",153.75,9.6,29.9,7.89,0.8,12.3,6
"27",267.83,3.47,29.7,7.85,0,6.3,6
"28",177.13,3.79,27.7,7.78,0.8,4.5,6
"29",117.83,9.54,29.6,7.66,5.8,5.5,6
"30",133.04,6.14,29.7,7.72,13.8,7.8,6
"31",134.88,11.43,29.7,7.79,2,9.3,6
"32",184.58,4.95,29.5,7.82,0.6,6.5,6
"33",227.29,1.7,29.1,7.85,0.5,5.8,3
"34",312.88,7.17,29.2,7.86,0,4.3,3
"35",270.67,4.42,29.2,7.78,0,2.8,3
"36",244.08,3.48,29.1,7.56,0,1.8,3
"37",260.04,2.6,29,7.45,0,0.5,3
"38",247.25,2.8,29,7.47,0,1,3
"39",270.43,3.93,28.9,7.5,0.2,1.8,3
"40",133,1.5,28.9,7.41,0.5,2.8,12
"41",139.83,1.78,28.9,7.32,0.3,4.5,12
"42",297.83,3.82,29.1,7.24,0,4.3,12
"43",248.79,2.3,27.1,7.09,0,0.5,12
"44",218.79,2.04,28.1,7.11,0,2.3,12
"45",159.12,5.24,29,7.33,2,4.8,12
"46",141.17,8.69,28.5,7.95,0.8,7.5,12
"47",146.83,7.64,29.6,7.78,1.9,6.5,6
"48",221.46,3.1,29.5,7.76,0.4,4,6
"49",219.96,3.45,29.7,7.88,0.6,3.5,6
"50",127.75,10.44,29.4,8,1.4,7,6
"51",126.46,9.61,29.7,8.32,0.5,6.3,6
"52",155.04,3.31,29.8,8.53,0,6.5,6
"53",323.67,8.94,29.7,8.37,0,4,6
"54",272.08,5.1,29.2,8.35,0,3,4
"55",292.79,3.78,29.3,8.15,0,0.8,4
"56",262.88,2.59,29.1,7.89,0,0,4
"57",244.62,3.1,29.1,7.71,0,3.5,4
"58",244.25,3.6,29.1,7.92,2.4,2,4
"59",173.58,3.13,28.9,7.98,0,4.5,4
"60",211.33,2.83,29.1,7.84,2.4,3,4
"61",234.92,1.45,29.1,7.96,2,3,6
"62",266.12,5.28,29,8.08,0,8,6
"63",236.17,4.14,29.3,8.05,0.9,7.3,6
"64",204.08,3.3,29,8.04,1.4,6.5,6
"65",260.58,4.85,28.8,7.84,0.2,4.8,6
"66",335.79,7.5,29,7.89,0,1.3,6
"67",323.62,6.64,29.2,7.94,0,-0.8,6
"68",140.08,3.49,28.8,7.73,2.6,2.3,7
"69",247.88,5.67,29.5,7.49,0.7,5.5,7
"70",229.38,3.7,29.5,7.74,5,7,7
"71",127.12,10.19,29.8,8.03,75.2,7.3,7
"72",135,14.59,27.9,8.1,22.2,11.3,7
"73",139.92,12.45,29.5,8.02,9.3,10.3,7
"74",140.71,14.2,30,8.14,11.2,8.8,7
"75",149,9.76,30,8.24,1.4,7,0
"76",158.67,8.6,30,8.26,5,5.8,0
"77",135.58,13.1,29.6,8.24,1.6,6.5,0
"78",137.62,10.67,30,7.9,6.6,4.5,0
"79",147.88,10.27,29.5,7.84,2.6,8,0
"80",145.39,13.05,29.5,7.95,20.8,8,0
"81",151.08,12.13,29.9,8.24,4.6,9.3,0
"82",274.71,7.62,29.1,8.41,0,6.8,1
"83",252.46,7.36,23.6,8.39,2.5,3,1
"84",157.71,7.77,29,8.35,1.2,5,1
"85",133.71,6.39,29.1,8.37,0.8,7.8,1
"86",129.5,6.57,29.3,8.33,0,6.5,1
"87",133.71,5.32,29.1,8.47,1.8,4.5,1
"88",120.33,6.99,29.4,8.61,4.2,9,1
"89",134.83,9,29.4,8.47,4.8,9.8,3
"90",165.42,9.03,29.5,8.51,0.6,8.3,3
"91",213.92,5.56,29.4,8.64,8.7,4.8,3
"92",169.08,6.25,29.3,8.59,0.9,4,3
"93",139.83,3.97,29.4,8.53,0.6,5,3
"94",271.79,4.79,28.9,8.56,0,4,3
"95",158.27,9.44,26.7,8.51,2.2,4.3,3
"96",130.88,7.47,28.9,8.36,7.2,6,3
"97",136.33,15.22,29.2,7.98,18,7.8,3
"98",133.58,15.58,29.6,8.27,14.9,10,3
"99",146.5,6.31,28.3,8.35,0,7.8,3
"100",135.46,6.01,26.5,8.56,0.6,9,3
"101",150.83,9.58,29,8.76,4.1,7.8,3
"102",242.83,4.65,25.9,8.77,0,10,3
"103",200.62,5.62,25.4,8.9,7,7,1
"104",131.79,8.97,26.2,9.28,3.6,8.3,1
"105",126.67,7.38,27.2,9.03,2.4,8.5,1
"106",137.67,8.62,28.2,9.23,0,8,1
"107",162.04,3.65,28.2,9.35,1.9,6.3,1
"108",226.74,5.5,28.1,9.43,2.2,6.5,1
"109",124.33,12.23,28.1,9.36,0,8.8,1
"110",115.25,4.26,28.3,9.43,2,10,1
"111",285.88,7.02,26.1,9.4,0,10.8,1
"112",252.83,6.26,24,9.24,0,7.3,1
"113",153.29,11.22,28.1,9.25,10,7.5,1
"114",113.25,5.83,28.5,9.94,3.6,7.3,1
"115",153.12,1.77,28.3,9.99,0,6.8,1
"116",253.79,5.53,26.3,9.99,0,6.5,1
"117",179.96,3.58,27.7,10.2,0,9,1
"118",239.21,2.65,28.2,10.58,0,8.5,1
"119",277,4.35,28,11.38,0,11.3,1
"120",125.62,3.08,27.4,11.47,0,11.5,1
"121",235.88,3.33,28,11.63,0,10.5,1
"122",240.58,4.82,29,11.69,0,9.3,1
"123",236.46,5.89,28,11.71,6.5,8.3,1
"124",244.71,6.2,27.8,11.46,6.4,8.5,0
"125",262.42,5.67,27.5,11.28,0,7.5,0
"126",251.71,5.15,27.5,11.11,0,7.5,0
"127",263.17,5.5,27.6,11.37,2.5,7.5,0
"128",223.61,4.58,27.6,11.99,0,9.8,0
"129",254.87,4.56,27.6,12.21,0,11,0
"130",182.08,2.81,27.9,12.21,0,10.8,0
"131",236.54,3.64,28,12.69,0,11.5,0
"132",272,5.47,28,12.82,0,11,0
"133",203.17,5.51,27.7,12.69,2.2,10.8,0
"134",180.25,6.88,28.6,12.59,0.2,12.5,0
"135",219.96,5.08,28.8,12.03,0.5,6.3,0
"136",241.46,4.48,27.8,12.06,6,4.5,0
"137",314.17,6.08,28,12.19,0,7.3,0
"138",254.79,6.37,28.2,12.42,0,8.5,0
"139",178.92,3.87,28.2,12.28,0,7.8,0
"140",186.71,5.03,28.5,12.46,3.8,9.5,0
"141",130.5,7.26,28.1,12.58,3.2,12.5,0
"142",144.62,6.76,28.1,12.73,3.4,12.8,0
"143",138.17,5.59,28.1,12.25,3.2,14.8,0
"144",146.92,5.18,28.7,12.53,3.2,15.5,0
"145",183.5,4.86,28.8,12.09,0,13.3,1
"146",221.29,4.95,28.3,13.04,0.7,10.8,1
"147",171.58,5.43,28.1,12.76,0.4,13.3,1
"148",224.25,5.19,28.5,12.58,0,14,1
"149",268.7,4,29,12.79,0,14.3,1
"150",277.88,4.2,29.3,13.23,0,15,1
"151",129.83,6.2,28.5,13.77,0,13.8,1
"152",233.42,5.66,28.3,13.83,0.4,14,1
"153",316.23,7.92,27.9,14,0,12,1
"154",329.06,7.69,28,14.09,0,13,1
"155",300.62,4.43,27.5,14.2,0,16,1
"156",270.31,4.54,27.5,14.5,0,19.3,1
"157",297.92,4.53,27.7,14.68,0,21,1
"158",334.21,8.09,27.3,14.6,0,19,1
"159",341,11.96,26.8,14.49,0,15.5,1
"160",304.86,6.11,27.1,14.28,0,13.5,1
"161",243.83,4.03,27.5,14.15,0,15.8,1
"162",161.67,3.77,27.5,14.04,0,14.3,1
"163",130.55,5.61,28,13.51,1.1,13.5,1
"164",157.5,7.85,28.5,13.49,0.2,13.8,1
"165",145.86,10.78,28.3,13.2,0,13,1
"166",135.83,5.1,28.6,14.36,0,13.8,0
"167",209,2.01,28.8,14.7,0,14.5,0
"168",215.33,2.05,28.9,14.91,0,17.8,0
"169",281,6.11,27.5,15.05,0,18.5,0
"170",294.92,5.83,27.6,15.27,0.2,12.8,0
"171",258,7.11,27.6,15.35,0.6,13.3,0
"172",297.17,5.43,26.1,15.24,0,14.5,0
"173",243.79,5.07,26.1,15.74,0,14,1
"174",258.46,4.19,26.6,15.93,0,16,1
"175",229.58,2.98,26.6,16.14,0,16.5,1
"176",263.67,3.6,26.5,15.96,0,20.5,1
"177",310.35,4.38,26.5,15.84,0,18.3,1
"178",331.83,7.79,26.2,16.08,0,18.3,1
"179",278.5,4.38,27.1,16.38,0,15.8,1
"180",277.42,4.79,27.1,17.39,9,17.8,0
"181",187.91,4.6,28.4,16.93,0,17,0
"182",262.79,4.01,27.8,15.95,0.6,15,0
"183",251.75,4.03,27.9,15.83,0,13.3,0
"184",285.79,4.21,27.4,15.74,0,14.5,0
"185",287.04,4.12,27.7,16.11,1,16,0
"186",310.5,4.58,27.7,16.83,0,16,0
"187",323.71,6.22,28,16.96,0,16,0
"188",228.77,3.28,27.2,16.88,0,14.8,0
"189",171.95,4.78,27.4,16.64,0,16.8,0
"190",117.64,3.74,28.1,16.95,0,17.8,0
"191",245.96,2.8,28,17.12,0,19,0
"192",234.38,3.7,28.1,17.32,0,19.3,0
"193",173.25,6.5,28.9,16.92,0,16.5,0
"194",145.29,10.74,29.2,16.54,3,19.3,0
"195",136.46,10.42,28.6,16.29,0,16.8,0
"196",186.74,4.07,28.9,16.35,0,15.3,0
"197",213,5.2,28.9,17.17,0,16.5,0
"198",290.79,5.07,28.9,17.75,0,15,0
"199",233.09,3.02,28.2,18.11,0,17.8,0
"200",234.48,2.9,24,18.01,0,21,0
"201",185.57,5.41,25.6,17.43,0,20.6,1
"202",284.52,3.13,26.2,17.46,0,20,1
"203",329.54,7.43,26.3,17.21,0,18.3,1
"204",335.08,9.37,26.1,17.16,0,16.3,1
"205",316.62,7.24,26.9,16.99,0,15.5,1
"206",293.21,4.94,26.1,16.99,0,15.5,1
"207",265.62,3.61,26.9,16.93,0,18.3,1
"208",318.54,6.62,26.1,17.35,0,18.8,0
"209",328,6.47,26.8,17.24,0,14.3,0
"210",309.79,4.81,27.1,17.14,0,22.3,0
"211",337.38,8.22,26.8,16.8,0,20.5,0
"212",308.33,6.48,26.9,16.99,0,17.8,0
"213",210.33,2.7,27.1,17.38,0,16.3,0
"214",304.58,5.33,27.4,17.57,0,18.7,0
"215",298.08,5.73,27.4,17.41,0,16.6,0
"216",257.43,4.47,28.6,17.46,0,19.3,0
"217",280.38,4.12,27.8,17.38,0,18.5,0
"218",209.25,5.52,28,17.06,0,16.8,0
"219",203.5,3.02,28,17.04,0,17.5,0
"220",235.25,3.33,27.9,16.94,0.6,16.3,0
"221",229.42,3.71,27.9,17.04,0,16.5,0
"222",248.96,5.31,28.4,17.45,0,17.3,0
"223",257.96,5.23,28.4,17.68,4.2,14.5,0
"224",247.54,4.2,28.3,17.87,0,16.5,0
"225",298.71,4.99,28.1,18.26,0,15.5,0
"226",304.5,4.44,28.1,18.52,0,18.8,0
"227",276.12,3.22,27.6,18.17,0,20,0
"228",136.88,5.74,27.7,18.21,0,16.5,0
"229",210.33,2.86,28.2,17.41,0,19,0
"230",214.83,4.21,27.8,17.41,0,18,0
"231",331.04,9.93,28.1,17.5,0,17,0
"232",275.92,6.99,27.9,17.71,0,15.8,0
"233",290.29,4.32,27.6,17.32,0,16.3,0
"234",268.71,4.55,27.6,16.67,0,17.8,0
"235",239.46,3.2,27.9,16.47,0,21.5,0
"236",247.88,3.46,27.9,16.99,0.5,13.8,2
"237",138.39,3.23,28.2,16.53,0.3,17,2
"238",193.52,2.89,28.7,16.34,0,15.5,2
"239",271.46,4.18,27.9,16.45,0,16,2
"240",288.39,5.1,28.3,16.58,0,15.8,2
"241",277.25,3.64,28.2,16.84,0,17,2
"242",260.21,3.38,28.2,16.79,0,17.8,2
"243",333.92,8.83,28.1,15.78,0,16.6,1
"244",320.33,8.43,28.3,15.6,0,16,1
"245",315.58,5.45,28.3,15.73,0,18.5,1
"246",319.3,6.08,28.3,15.76,0,18,1
"247",277.92,4.97,28.8,15.43,0,18,1
"248",204.3,2.73,27.2,15.32,0,19.8,1
"249",177.29,4.69,28.6,15.15,14.2,13.8,1
"250",153.58,5.19,28.2,14.99,5.8,16.5,0
"251",263.12,4.05,28.2,14.99,0,13,0
"252",143.96,4.62,28.4,14.76,0.2,15,0
"253",147.21,7.18,28.5,14.07,0.5,13.3,0
"254",225.04,4.28,28.6,13.68,0.4,15.8,0
"255",275.65,8.76,28.9,13.78,0,12.5,0
"256",256.92,3.15,29,13.9,2.4,11.5,0
"257",282.08,7.15,28.7,14.37,0,13.5,0
"258",269,4.68,28.4,14.46,1.2,11.8,0
"259",257.96,5.29,28.6,14.59,0,12.5,0
"260",263.04,6.49,28.4,14.67,1.4,9.8,0
"261",130.65,14.46,28.7,14.52,3.2,13.5,0
"262",251.04,4.6,28.6,13.69,0,14.5,0
"263",290.5,4.09,28.5,13.67,0,11.8,0
"264",288.88,3.67,28.6,13.71,0,10.8,3
"265",276.92,2.96,28.7,13.52,0,12.3,3
"266",280.58,4.47,29.3,13.54,0,14.5,3
"267",274.33,2.98,28.9,13.6,0,10.5,3
"268",310.79,3.13,29,13.61,0,13.3,3
"269",288.29,3.59,28.7,13.73,0,14.3,3
"270",280.52,3.73,28.3,13.91,0,15.8,3
"271",280.21,2.35,28,13.99,0,17.5,1
"272",216.21,2.53,27.8,14.26,0,15.3,1
"273",206.54,2.83,27.8,14.31,0,12.3,1
"274",219.91,1.59,28.2,14.34,0,13.3,1
"275",273.09,3.7,28.6,14.24,0,13.3,1
"276",221.17,2.69,28.8,14.03,0,10.5,1
"277",246.39,2.2,29,14.37,0,11,1
"278",168.3,5.01,29.1,13.78,0.8,12,1
"279",147.32,9.51,29.2,13.13,17.7,12.3,1
"280",198.65,3.37,29.5,12.6,5.6,11.5,1
"281",144.25,15.57,29.6,12.05,15,12.3,1
"282",168.67,7.94,29.7,11.44,5.2,10,1
"283",153.96,5.04,29.8,11.32,0.2,11,1
"284",134.25,12.8,29.8,11.03,30,9.3,1
"285",173.42,13.94,30,10.96,6.5,12.3,1
"286",301.83,4.15,29.7,10.95,0,8,1
"287",248.92,5.49,29.6,10.84,0,7,1
"288",122.12,6.05,29.5,11.11,20.4,6.3,1
"289",131.17,13.79,29.7,11.41,44.3,9.5,1
"290",86,2.4,28.7,11.11,14.2,12.3,1
"291",135.74,10.39,29.4,11.27,7,15.3,1
"292",140.88,7.13,28.9,11.5,0,12,1
"293",175.7,6.59,28.9,11.53,8.2,13.3,1
"294",210.38,4.15,27.2,11.46,0,8.8,1
"295",212.04,2.58,27.8,11.4,0,7.5,1
"296",313.04,4.02,27.8,11.47,0,9.3,1
"297",296,2.68,27.4,11.47,0,6.5,0
"298",184.46,1.52,28,11.08,0.4,10.3,0
"299",202.46,7.53,28.2,10.94,0,11.5,0
"300",322.09,11.06,27.4,10.91,0,6.3,0
"301",287.62,9.9,27.5,10.74,0,3.8,0
"302",256.48,6.13,27.8,10.78,0,1.5,0
"303",254.96,3.28,27.8,9.8,0,1.3,0
"304",287.38,5.39,28.5,9.24,0,3.8,0
"305",297.5,5.67,28.4,9.02,0,1.5,0
"306",244.5,3.5,28.4,9.2,0,-0.5,0
"307",255.62,3.46,28.1,9.13,0,-0.5,0
"308",290.83,3.5,28.1,9,0,-0.5,0
"309",292.46,3.1,28,8.85,0,-0.3,0
"310",300.83,3.45,28,8.71,0,4.3,0
"311",314.88,3.99,27.9,8.92,0,3.3,3
"312",193.33,3.69,27.8,8.81,0,2.8,3
"313",283.12,4.71,27.7,8.69,0,5,3
"314",182.88,5.18,28.6,8.68,0,5,3
"315",109.67,3.62,28.7,8.68,0,2.8,3
"316",236.29,5.97,28.5,8.71,1.3,4.5,3
"317",261.46,4.66,28.2,8.92,3.6,7.3,3
"318",155.22,9.99,28.6,8.94,9.5,6.5,3
"319",244.46,5.08,29.2,8.97,11.6,7,3
"320",212.22,9.25,28.9,8.93,14.7,5.5,3
"321",141.67,4.59,28.8,8.84,0,3,3
"322",304.96,4.91,28.5,8.78,3.6,0.3,3
"323",314.71,8.83,29,8.83,0,0.5,3
"324",209.25,5.18,28.8,8.77,0.6,0,3
"325",125.04,12.37,28.8,8.5,9.4,2.5,1
"326",262.21,6.86,29.1,8.7,2.2,2.3,1
"327",158,9.09,29,8.74,0,4.3,1
"328",190.08,3.88,29.4,8.75,0.5,2,1
"329",143.71,10.4,29.4,8.95,28.2,3.8,1
"330",138.04,15.4,28.7,9.21,4.3,6.8,1
"331",316.96,7,30,9.1,0,4.5,1
"332",315.33,5.46,29.8,8.64,0,0.3,2
"333",275.79,3.55,28.3,8.49,0.2,0.5,2
"334",146,9.66,29,8.35,0.5,5.3,2
"335",296.67,4.79,28.8,8.35,9,3.5,2
"336",121.13,7.71,29.2,8.51,22.6,4.3,2
"337",132.58,17.05,28.7,8.63,22.1,6.5,2
"338",130.67,11.56,28.7,8.5,8.2,3.3,2
"339",194.5,6.22,27.2,8.57,6.4,3.5,1
"340",228,3.02,27.1,8.7,0,3.5,1
"341",81.52,4.65,27.8,9,2.5,1.5,1
"342",199.5,2.49,28.2,8.71,0.6,2.8,1
"343",153.33,5.9,27.8,8.4,3.6,3.5,1
"344",176.38,8.47,28.1,8.44,4.2,4,1
"345",133.54,10.93,29.2,8.45,11.9,3,1
"346",146.42,12.12,28.8,8.39,0.2,6.5,2
"347",160.79,9.79,29.7,8.33,25.2,2.8,2
"348",177.58,14.13,29.3,8.21,15.8,5.8,2
"349",183.75,6,26.5,8.05,0.2,4,2
"350",104.7,3.53,27.7,7.53,0,3,2
"351",160.08,3.16,28.2,7.63,5.4,1.3,2
"352",155.88,7.42,29,7.8,1.6,5.3,2
"353",158.54,5.33,28.6,8.02,0,3.3,2
"354",120.04,6.78,28.8,8.1,0,4,2
"355",140.67,10.18,29.1,8.28,8.8,4.8,2
"356",138.65,13.96,29.1,8.12,5,6.5,2
"357",251.38,6.7,29.3,7.88,0,4.3,2
"358",246.38,6.16,29.3,7.82,1.6,-0.3,2
"359",140.12,15.06,29.2,7.8,3.9,1.3,2
"360",315.62,5.08,29.2,7.8,0,0.3,4
"361",281.62,8,28.7,7.9,0,-0.5,4
"362",182.83,7.2,28.3,7.8,0,-2.5,4
"363",145.7,9.7,29.2,7.75,3,0,4
"364",204.33,2.73,29.1,7.46,17.6,5.5,4
"365",316.21,9.19,28.9,7.45,0,3,4
"366",275.61,7.73,28.6,7.34,0.2,0.3,2
"367",144.88,8.42,28.9,7.36,1.6,3.5,2
