"","year","epiweek","WDIR","GSPD","Salinity","SST","Total_Rain","Mean_Temp","Number of norovirus outbreaks"
"1","2003",1,"E",13.37,29.38,8.11,19.98,8.1,5
"2","2003",2,"S",3.49,28.39,7.78,1,2.37,11
"3","2003",3,"S",3.46,28.6,7.64,1.56,4.1,7
"4","2003",4,"E",6,29.47,7.8,11.91,6.96,2
"5","2003",5,"S",6.99,29.4,7.79,3.4,7.46,6
"6","2003",6,"W",3.73,29.07,7.64,0.1,2.57,3
"7","2003",7,"S",3.62,28.51,7.35,0.51,3.81,12
"8","2003",8,"S",6.64,29.63,8.09,0.69,5.4,6
"9","2003",9,"W",3.45,29.11,7.98,0.69,2.4,4
"10","2003",10,"W",4.74,29.06,7.97,0.64,4.3,6
"11","2003",11,"S",9.18,29.41,7.89,18.03,7.5,7
"12","2003",12,"S",11.08,29.79,8.1,6.09,7.01,0
"13","2003",13,"E",6.86,28.37,8.42,1.5,6.09,1
"14","2003",14,"S",6.86,28.94,8.54,2.54,5.74,3
"15","2003",15,"S",9.26,28.2,8.44,6.4,8.34,3
"16","2003",16,"S",7.42,27.34,9.23,2.44,7.63,1
"17","2003",17,"S",5.98,27.09,9.61,2.23,8.03,1
"18","2003",18,"W",3.96,28.04,11.24,0.93,9.77,1
"19","2003",19,"W",4.92,27.64,11.66,1.27,8.94,0
"20","2003",20,"W",5.31,28.13,12.44,1.27,9.13,0
"21","2003",21,"S",5.72,28.27,12.46,2.4,11.63,0
"22","2003",22,"S",4.98,28.64,12.89,0.16,13.5,1
"23","2003",23,"W",6.12,27.74,14.27,0.06,16.33,1
"24","2003",24,"S",7.16,27.66,13.88,0.19,14.2,1
"25","2003",25,"W",4.81,27.87,14.98,0.11,15.03,0
"26","2003",26,"W",4.63,26.51,16.01,0,17.06,1
"27","2003",27,"W",4.33,27.71,16.4,1.51,15.7,0
"28","2003",28,"W",4.43,27.96,16.97,0,16.79,0
"29","2003",29,"S",5.92,28.1,17.17,0.43,17.17,0
"30","2003",30,"W",5.88,26.3,17.17,0,17.44,1
"31","2003",31,"W",5.8,26.89,17.21,0,17.43,0
"32","2003",32,"W",4.27,27.94,17.19,0.09,17.31,0
"33","2003",33,"W",4.73,28.09,18.02,0.6,17.77,0
"34","2003",34,"W",5.15,27.87,17.21,0,16.67,0
"35","2003",35,"W",3.7,28.2,16.65,0.11,15.49,2
"36","2003",36,"N",5.88,27.89,15.54,2.03,16.51,1
"37","2003",37,"W",5.32,28.54,14.31,1.33,13.94,0
"38","2003",38,"W",6.68,28.56,14.28,0.83,12.49,0
"39","2003",39,"W",3.5,28.79,13.66,0,13.07,3
"40","2003",40,"S",2.56,28.31,14.22,0,13.31,1
"41","2003",41,"S",8.46,29.53,12.19,10.64,11.2,1
"42","2003",42,"S",9.85,29.63,11.06,22.86,9.7,1
"43","2003",43,"S",5.32,28.39,11.39,4.2,11.21,1
"44","2003",44,"W",6.01,27.73,10.82,0.06,5.89,0
"45","2003",45,"W",4.01,28.21,9.02,0,1.11,0
"46","2003",46,"W",4.55,28.2,8.77,0.7,4.39,3
"47","2003",47,"S",6.83,28.83,8.87,5.71,3.26,3
"48","2003",48,"S",9.29,29.2,8.85,6.37,3.74,1
"49","2003",49,"S",8.54,29,8.5,8.94,3.39,2
"50","2003",50,"S",5.95,27.91,8.61,4.17,3.11,1
"51","2003",51,"S",8.02,28.46,7.99,6.91,4.1,2
"52","2003",52,"S",9.17,29.06,8,2.76,3.41,2
"53","2003",53,"W",7.5,28.85,7.81,0.75,-0.68,4
"54","2004",1,"S",7.31,28.97,7.33,3.49,0.43,2
"55","2004",2,"S",6.72,26.34,7.75,5.79,6.57,3
"56","2004",3,"S",8.51,28.66,7.22,3.69,5.39,4
"57","2004",4,"S",6.82,28.41,7.18,4.89,2.99,2
"58","2004",5,"S",6.53,28.41,7.02,2.81,3.2,1
"59","2004",6,"S",2.97,28.39,6.82,1.57,3.27,6
"60","2004",7,"S",4.85,28,7.32,3.33,5.19,6
"61","2004",8,"S",3.85,26.21,7.42,2.77,6.07,8
"62","2004",9,"S",6.52,27.71,7.89,2.16,4.73,4
"63","2004",10,"W",6.11,28.6,8.08,0.57,6.57,3
"64","2004",11,"W",5.74,29,8.41,1.77,6.63,4
"65","2004",12,"S",6.95,27.99,8.43,4.07,7.1,6
"66","2004",13,"S",4.18,27.59,8.8,0.09,7.57,6
"67","2004",14,"W",4.21,28.19,10.22,0.06,8.06,1
"68","2004",15,"S",4.02,28.61,10.67,3.03,8.3,2
