"","WDIR","GSPD","Salinity","SST","Total_Rain","Mean_Temp","outbreak_count","X","...1","Date","Max_Temp","Min_Temp","Total_Precip","year","epiweek"
"1",118.08,15.15,30,7.94,41.1,5.3,5,1,1,"2003/1/1",9,1.5,41.1,2003,1
"2",118.46,14.15,29.2,8.26,24.8,9.3,5,2,2,"2003/1/2",14,4.5,24.8,2003,1
"3",124.25,14.27,28.8,8.14,11.4,8.3,5,3,3,"2003/1/3",11.5,5,11.4,2003,1
"4",143.04,9.91,29.5,8.09,2.6,9.5,5,4,4,"2003/1/4",13,6,2.6,2003,1
"5",172.7,5.76,29.2,7.91,0,4.5,11,5,5,"2003/1/5",9,0,0,2003,2
"6",114.79,4.16,28.8,7.78,0,3,11,6,6,"2003/1/6",7.5,-1.5,0,2003,2
"7",186.42,3.24,28.1,7.71,0,3.5,11,7,7,"2003/1/7",9,-2,0,2003,2
"8",300.71,4.47,26.7,7.67,0,3.3,11,8,8,"2003/1/8",8.5,-2,0,2003,2
"9",171.04,1.79,28.2,7.69,0,1.3,11,9,9,"2003/1/9",5.5,-3,0,2003,2
"10",210.54,2.16,28.8,7.82,0,-0.5,11,10,10,"2003/1/10",2,-3,0,2003,2
"11",164.04,2.82,28.9,7.85,7,1.5,11,11,11,"2003/1/11",3.5,-0.5,7,2003,2
"12",237.58,4.23,27.8,7.89,0.6,3.8,7,12,12,"2003/1/12",6.5,1,0.6,2003,3
"13",104.91,3.55,28.1,7.9,9.2,5,7,13,13,"2003/1/13",8,2,9.2,2003,3
"14",217.58,4.32,28.6,8.1,0.4,5,7,14,14,"2003/1/14",9,1,0.4,2003,3
"15",161.62,3.97,28.7,7.97,0,4.8,7,15,15,"2003/1/15",7.5,2,0,2003,3
"16",106.75,2.57,29.3,7.26,0,4,7,16,16,"2003/1/16",9,-1,0,2003,3
"17",306.5,2.98,28.5,7.23,0.2,3.3,7,17,17,"2003/1/17",9,-2.5,0.2,2003,3
